"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","transmembrane transporter activity","GO:0022857","1.9522898744556703e-7","6.709455698180602","887","327","59","11339","WBGENE00001187,WBGENE00006663,WBGENE00004228,WBGENE00000171,WBGENE00001795,WBGENE00011726,WBGENE00002974,WBGENE00000501,WBGENE00013996,WBGENE00021814,WBGENE00020605,WBGENE00006772,WBGENE00001612,WBGENE00015131,WBGENE00007404,WBGENE00006683,WBGENE00019830,WBGENE00003877,WBGENE00004877,WBGENE00018280,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00015583,WBGENE00017398,WBGENE00021637,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00016945,WBGENE00006681,WBGENE00000177,WBGENE00008857,WBGENE00019979,WBGENE00016431,WBGENE00017770,WBGENE00001374,WBGENE00020889,WBGENE00015660,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00010741,WBGENE00004359,WBGENE00004793,WBGENE00000233,WBGENE00013074,WBGENE00019018,WBGENE00017350,WBGENE00000530,WBGENE00014989,WBGENE00006832,WBGENE00013088,WBGENE00006660"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","2.537170732115988e-7","6.595650307109762","498","327","41","11339","WBGENE00001187,WBGENE00006663,WBGENE00000171,WBGENE00001795,WBGENE00002974,WBGENE00000501,WBGENE00020605,WBGENE00006772,WBGENE00001612,WBGENE00007404,WBGENE00006683,WBGENE00004877,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00016945,WBGENE00006681,WBGENE00001374,WBGENE00015660,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00010741,WBGENE00004359,WBGENE00004793,WBGENE00000233,WBGENE00013074,WBGENE00019018,WBGENE00017350,WBGENE00000530,WBGENE00014989,WBGENE00006832,WBGENE00006660"
"GO:MF","passive transmembrane transporter activity","GO:0022803","7.577868988947557e-7","6.120452907357276","358","327","33","11339","WBGENE00001187,WBGENE00006663,WBGENE00000171,WBGENE00001795,WBGENE00002974,WBGENE00020605,WBGENE00006772,WBGENE00001612,WBGENE00007404,WBGENE00006683,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00006681,WBGENE00000177,WBGENE00001374,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00010741,WBGENE00004793,WBGENE00000233,WBGENE00000530,WBGENE00014989,WBGENE00006832,WBGENE00006660"
"GO:MF","channel activity","GO:0015267","7.577868988947557e-7","6.120452907357276","358","327","33","11339","WBGENE00001187,WBGENE00006663,WBGENE00000171,WBGENE00001795,WBGENE00002974,WBGENE00020605,WBGENE00006772,WBGENE00001612,WBGENE00007404,WBGENE00006683,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00006681,WBGENE00000177,WBGENE00001374,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00010741,WBGENE00004793,WBGENE00000233,WBGENE00000530,WBGENE00014989,WBGENE00006832,WBGENE00006660"
"GO:MF","transporter activity","GO:0005215","9.63825027471646e-7","6.016001800641461","925","327","59","11339","WBGENE00001187,WBGENE00006663,WBGENE00004228,WBGENE00000171,WBGENE00001795,WBGENE00011726,WBGENE00002974,WBGENE00000501,WBGENE00013996,WBGENE00021814,WBGENE00020605,WBGENE00006772,WBGENE00001612,WBGENE00015131,WBGENE00007404,WBGENE00006683,WBGENE00019830,WBGENE00003877,WBGENE00004877,WBGENE00018280,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00015583,WBGENE00017398,WBGENE00021637,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00016945,WBGENE00006681,WBGENE00000177,WBGENE00008857,WBGENE00019979,WBGENE00016431,WBGENE00017770,WBGENE00001374,WBGENE00020889,WBGENE00015660,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00010741,WBGENE00004359,WBGENE00004793,WBGENE00000233,WBGENE00013074,WBGENE00019018,WBGENE00017350,WBGENE00000530,WBGENE00014989,WBGENE00006832,WBGENE00013088,WBGENE00006660"
"GO:MF","ion transmembrane transporter activity","GO:0015075","0.0000010773371580543776","5.96764836079877","544","327","42","11339","WBGENE00001187,WBGENE00006663,WBGENE00001795,WBGENE00002974,WBGENE00000501,WBGENE00020605,WBGENE00006772,WBGENE00001612,WBGENE00007404,WBGENE00006683,WBGENE00004877,WBGENE00018280,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00016945,WBGENE00006681,WBGENE00017770,WBGENE00001374,WBGENE00015660,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00010741,WBGENE00004359,WBGENE00004793,WBGENE00000233,WBGENE00013074,WBGENE00019018,WBGENE00017350,WBGENE00000530,WBGENE00014989,WBGENE00006832,WBGENE00006660"
"GO:MF","ion channel activity","GO:0005216","0.0000013872996279791386","5.8578297301851086","329","327","31","11339","WBGENE00001187,WBGENE00006663,WBGENE00001795,WBGENE00002974,WBGENE00020605,WBGENE00006772,WBGENE00001612,WBGENE00007404,WBGENE00006683,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00006681,WBGENE00001374,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00010741,WBGENE00004793,WBGENE00000233,WBGENE00000530,WBGENE00014989,WBGENE00006832,WBGENE00006660"
"GO:MF","cation channel activity","GO:0005261","0.000013609984074317913","4.866142382984755","198","327","22","11339","WBGENE00001187,WBGENE00006663,WBGENE00001795,WBGENE00002974,WBGENE00006772,WBGENE00006683,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00006681,WBGENE00001374,WBGENE00017879,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00004793,WBGENE00006832,WBGENE00006660"
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","0.000014976096647417839","4.824601365901321","216","327","23","11339","WBGENE00001187,WBGENE00006663,WBGENE00000501,WBGENE00006772,WBGENE00006683,WBGENE00004877,WBGENE00002242,WBGENE00002234,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00006681,WBGENE00001374,WBGENE00015660,WBGENE00017879,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00004793,WBGENE00017350,WBGENE00006832,WBGENE00006660"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","0.00002490019968582173","4.6037971700888916","333","327","29","11339","WBGENE00001187,WBGENE00006663,WBGENE00001795,WBGENE00002974,WBGENE00000501,WBGENE00006772,WBGENE00006683,WBGENE00004877,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00006681,WBGENE00001374,WBGENE00015660,WBGENE00017879,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00004359,WBGENE00004793,WBGENE00013074,WBGENE00017350,WBGENE00006832,WBGENE00006660"
"GO:MF","cation transmembrane transporter activity","GO:0008324","0.000036982038067767064","4.4320091586934725","359","327","30","11339","WBGENE00001187,WBGENE00006663,WBGENE00001795,WBGENE00002974,WBGENE00000501,WBGENE00006772,WBGENE00006683,WBGENE00004877,WBGENE00018280,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00006681,WBGENE00001374,WBGENE00015660,WBGENE00017879,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00004359,WBGENE00004793,WBGENE00013074,WBGENE00017350,WBGENE00006832,WBGENE00006660"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","0.000039286375006469","4.405758042130342","617","327","42","11339","WBGENE00001439,WBGENE00003728,WBGENE00003690,WBGENE00003603,WBGENE00000910,WBGENE00013111,WBGENE00017755,WBGENE00006818,WBGENE00003377,WBGENE00003710,WBGENE00044068,WBGENE00006827,WBGENE00000908,WBGENE00000221,WBGENE00006462,WBGENE00003624,WBGENE00004393,WBGENE00005009,WBGENE00003659,WBGENE00000095,WBGENE00000912,WBGENE00013970,WBGENE00019816,WBGENE00019743,WBGENE00003720,WBGENE00003722,WBGENE00003707,WBGENE00021163,WBGENE00000454,WBGENE00003697,WBGENE00003632,WBGENE00016091,WBGENE00006778,WBGENE00011002,WBGENE00007546,WBGENE00007929,WBGENE00000447,WBGENE00003643,WBGENE00003655,WBGENE00003678,WBGENE00020368,WBGENE00006380"
"GO:MF","gated channel activity","GO:0022836","0.00006078170883037191","4.216227094233558","198","327","21","11339","WBGENE00001187,WBGENE00002974,WBGENE00020605,WBGENE00006772,WBGENE00001612,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00020903,WBGENE00016066,WBGENE00001374,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00010741,WBGENE00004793,WBGENE00000233,WBGENE00000530,WBGENE00006832"
"GO:MF","transcription regulator activity","GO:0140110","0.00041454676464881314","3.3824264699790176","722","327","44","11339","WBGENE00001439,WBGENE00003728,WBGENE00003690,WBGENE00003603,WBGENE00000910,WBGENE00013111,WBGENE00017755,WBGENE00006818,WBGENE00003377,WBGENE00003710,WBGENE00044068,WBGENE00006827,WBGENE00000908,WBGENE00000221,WBGENE00006462,WBGENE00003624,WBGENE00004393,WBGENE00005009,WBGENE00003659,WBGENE00000095,WBGENE00000912,WBGENE00013970,WBGENE00019816,WBGENE00019743,WBGENE00003720,WBGENE00003722,WBGENE00003707,WBGENE00021163,WBGENE00000454,WBGENE00003697,WBGENE00003632,WBGENE00016091,WBGENE00006778,WBGENE00011002,WBGENE00007546,WBGENE00007929,WBGENE00000447,WBGENE00003643,WBGENE00003655,WBGENE00003678,WBGENE00020368,WBGENE00020251,WBGENE00006380,WBGENE00002295"
"GO:MF","potassium ion transmembrane transporter activity","GO:0015079","0.0007325441616720734","3.1351661885951905","95","327","13","11339","WBGENE00006663,WBGENE00006683,WBGENE00002242,WBGENE00002234,WBGENE00006681,WBGENE00001374,WBGENE00015660,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00004793,WBGENE00017350,WBGENE00006660"
