source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,regulation of cellular process,GO:0050794,4.35E-08,7.361780519,3069,305,144,10296,"WBGENE00020649,WBGENE00006428,WBGENE00018117,WBGENE00021152,WBGENE00001439,WBGENE00001187,WBGENE00004056,WBGENE00022004,WBGENE00008366,WBGENE00003728,WBGENE00003690,WBGENE00003603,WBGENE00000858,WBGENE00000910,WBGENE00007006,WBGENE00002974,WBGENE00010374,WBGENE00013111,WBGENE00017760,WBGENE00021439,WBGENE00019832,WBGENE00004321,WBGENE00017755,WBGENE00006772,WBGENE00006818,WBGENE00004344,WBGENE00006287,WBGENE00003759,WBGENE00001457,WBGENE00015364,WBGENE00018074,WBGENE00019365,WBGENE00003740,WBGENE00006055,WBGENE00001461,WBGENE00001052,WBGENE00015492,WBGENE00003377,WBGENE00006411,WBGENE00003710,WBGENE00001841,WBGENE00002163,WBGENE00044068,WBGENE00006827,WBGENE00002242,WBGENE00002234,WBGENE00019782,WBGENE00003752,WBGENE00000047,WBGENE00000908,WBGENE00003757,WBGENE00010704,WBGENE00004719,WBGENE00010994,WBGENE00004764,WBGENE00008095,WBGENE00000221,WBGENE00006462,WBGENE00003624,WBGENE00003891,WBGENE00018191,WBGENE00019012,WBGENE00006594,WBGENE00004393,WBGENE00001676,WBGENE00004778,WBGENE00016265,WBGENE00005009,WBGENE00013955,WBGENE00008382,WBGENE00010134,WBGENE00009475,WBGENE00002026,WBGENE00003659,WBGENE00000095,WBGENE00000912,WBGENE00003753,WBGENE00007219,WBGENE00002107,WBGENE00013970,WBGENE00019816,WBGENE00019743,WBGENE00003720,WBGENE00003722,WBGENE00003707,WBGENE00005849,WBGENE00021163,WBGENE00000478,WBGENE00006256,WBGENE00003747,WBGENE00000454,WBGENE00000069,WBGENE00001374,WBGENE00003697,WBGENE00003632,WBGENE00015401,WBGENE00001464,WBGENE00018222,WBGENE00022538,WBGENE00001616,WBGENE00003386,WBGENE00005894,WBGENE00016091,WBGENE00016096,WBGENE00017661,WBGENE00018405,WBGENE00018402,WBGENE00001665,WBGENE00006778,WBGENE00011002,WBGENE00007103,WBGENE00007951,WBGENE00007799,WBGENE00009965,WBGENE00010741,WBGENE00011381,WBGENE00011382,WBGENE00010191,WBGENE00007546,WBGENE00012279,WBGENE00004793,WBGENE00007929,WBGENE00000233,WBGENE00000447,WBGENE00011197,WBGENE00008522,WBGENE00003643,WBGENE00005781,WBGENE00005830,WBGENE00003655,WBGENE00013588,WBGENE00013752,WBGENE00009289,WBGENE00004926,WBGENE00003678,WBGENE00020008,WBGENE00020368,WBGENE00020251,WBGENE00020023,WBGENE00006380,WBGENE00005641,WBGENE00014055,WBGENE00002295,WBGENE00004286"
GO:BP,signal transduction,GO:0007165,1.24476E-06,5.904915818,1552,305,86,10296,"WBGENE00020649,WBGENE00006428,WBGENE00018117,WBGENE00021152,WBGENE00004056,WBGENE00022004,WBGENE00008366,WBGENE00000858,WBGENE00000910,WBGENE00007006,WBGENE00002974,WBGENE00010374,WBGENE00013111,WBGENE00017760,WBGENE00021439,WBGENE00019832,WBGENE00004321,WBGENE00006772,WBGENE00004344,WBGENE00006287,WBGENE00003759,WBGENE00001457,WBGENE00015364,WBGENE00018074,WBGENE00019365,WBGENE00003740,WBGENE00006055,WBGENE00001461,WBGENE00001052,WBGENE00006411,WBGENE00003710,WBGENE00001841,WBGENE00002163,WBGENE00019782,WBGENE00003752,WBGENE00000047,WBGENE00003757,WBGENE00004719,WBGENE00010994,WBGENE00004764,WBGENE00008095,WBGENE00003891,WBGENE00018191,WBGENE00019012,WBGENE00001676,WBGENE00004778,WBGENE00016265,WBGENE00008382,WBGENE00010134,WBGENE00009475,WBGENE00002026,WBGENE00003753,WBGENE00007219,WBGENE00002107,WBGENE00005849,WBGENE00000478,WBGENE00006256,WBGENE00003747,WBGENE00000069,WBGENE00015401,WBGENE00001464,WBGENE00018222,WBGENE00001616,WBGENE00003386,WBGENE00005894,WBGENE00017661,WBGENE00001665,WBGENE00007951,WBGENE00009965,WBGENE00010741,WBGENE00011381,WBGENE00011382,WBGENE00010191,WBGENE00012279,WBGENE00000233,WBGENE00011197,WBGENE00008522,WBGENE00005781,WBGENE00005830,WBGENE00013588,WBGENE00013752,WBGENE00020008,WBGENE00020023,WBGENE00005641,WBGENE00014055,WBGENE00004286"
GO:BP,G protein-coupled receptor signaling pathway,GO:0007186,4.94824E-06,5.30554904,690,305,49,10296,"WBGENE00006428,WBGENE00018117,WBGENE00021152,WBGENE00022004,WBGENE00008366,WBGENE00007006,WBGENE00021439,WBGENE00006287,WBGENE00003759,WBGENE00001457,WBGENE00015364,WBGENE00003740,WBGENE00001461,WBGENE00001052,WBGENE00006411,WBGENE00003752,WBGENE00003757,WBGENE00018191,WBGENE00019012,WBGENE00001676,WBGENE00004778,WBGENE00016265,WBGENE00003753,WBGENE00007219,WBGENE00005849,WBGENE00006256,WBGENE00003747,WBGENE00000069,WBGENE00015401,WBGENE00001464,WBGENE00018222,WBGENE00003386,WBGENE00005894,WBGENE00017661,WBGENE00001665,WBGENE00007951,WBGENE00009965,WBGENE00011381,WBGENE00011382,WBGENE00010191,WBGENE00011197,WBGENE00008522,WBGENE00005781,WBGENE00005830,WBGENE00013588,WBGENE00013752,WBGENE00020008,WBGENE00020023,WBGENE00005641"
GO:BP,response to stimulus,GO:0050896,5.42963E-06,5.26522985,2403,305,115,10296,"WBGENE00020649,WBGENE00006428,WBGENE00018117,WBGENE00021152,WBGENE00004056,WBGENE00022004,WBGENE00008969,WBGENE00008366,WBGENE00000858,WBGENE00000910,WBGENE00007006,WBGENE00002974,WBGENE00010374,WBGENE00013111,WBGENE00017760,WBGENE00021439,WBGENE00019832,WBGENE00004321,WBGENE00006772,WBGENE00006818,WBGENE00004344,WBGENE00006287,WBGENE00003759,WBGENE00001457,WBGENE00015364,WBGENE00018074,WBGENE00019365,WBGENE00003740,WBGENE00006055,WBGENE00001461,WBGENE00015354,WBGENE00001052,WBGENE00003166,WBGENE00006411,WBGENE00003710,WBGENE00001841,WBGENE00002163,WBGENE00002242,WBGENE00019782,WBGENE00018724,WBGENE00003752,WBGENE00000047,WBGENE00003757,WBGENE00004719,WBGENE00010994,WBGENE00004764,WBGENE00008095,WBGENE00007260,WBGENE00003891,WBGENE00018191,WBGENE00000013,WBGENE00019012,WBGENE00006594,WBGENE00004393,WBGENE00001676,WBGENE00004778,WBGENE00016265,WBGENE00005009,WBGENE00008530,WBGENE00008382,WBGENE00010134,WBGENE00009475,WBGENE00002026,WBGENE00003753,WBGENE00007219,WBGENE00002107,WBGENE00007990,WBGENE00007989,WBGENE00001030,WBGENE00019240,WBGENE00005849,WBGENE00018262,WBGENE00000478,WBGENE00006256,WBGENE00019471,WBGENE00015045,WBGENE00003747,WBGENE00000069,WBGENE00015401,WBGENE00001464,WBGENE00018222,WBGENE00001616,WBGENE00003386,WBGENE00005894,WBGENE00017661,WBGENE00006418,WBGENE00001665,WBGENE00006778,WBGENE00007951,WBGENE00009965,WBGENE00010741,WBGENE00011381,WBGENE00011382,WBGENE00010191,WBGENE00003886,WBGENE00012279,WBGENE00007929,WBGENE00000233,WBGENE00011326,WBGENE00011197,WBGENE00008522,WBGENE00005781,WBGENE00005830,WBGENE00013588,WBGENE00013752,WBGENE00004926,WBGENE00020008,WBGENE00020023,WBGENE00016005,WBGENE00005641,WBGENE00014055,WBGENE00006655,WBGENE00004286,WBGENE00013273,WBGENE00000831"
GO:BP,cell communication,GO:0007154,1.29908E-05,4.886364283,1682,305,88,10296,"WBGENE00020649,WBGENE00006428,WBGENE00018117,WBGENE00021152,WBGENE00004056,WBGENE00022004,WBGENE00008366,WBGENE00000858,WBGENE00000910,WBGENE00007006,WBGENE00002974,WBGENE00010374,WBGENE00013111,WBGENE00017760,WBGENE00021439,WBGENE00019832,WBGENE00004321,WBGENE00006772,WBGENE00004344,WBGENE00006287,WBGENE00003759,WBGENE00001457,WBGENE00015364,WBGENE00018074,WBGENE00019365,WBGENE00003740,WBGENE00006055,WBGENE00001461,WBGENE00001052,WBGENE00006411,WBGENE00003710,WBGENE00001841,WBGENE00002163,WBGENE00019782,WBGENE00003752,WBGENE00000047,WBGENE00003757,WBGENE00004719,WBGENE00010994,WBGENE00004764,WBGENE00008095,WBGENE00003891,WBGENE00018191,WBGENE00019012,WBGENE00006594,WBGENE00001676,WBGENE00004778,WBGENE00016265,WBGENE00008382,WBGENE00010134,WBGENE00009475,WBGENE00002026,WBGENE00003753,WBGENE00007219,WBGENE00002107,WBGENE00005849,WBGENE00000478,WBGENE00006256,WBGENE00003747,WBGENE00000069,WBGENE00015401,WBGENE00001464,WBGENE00018222,WBGENE00001616,WBGENE00003386,WBGENE00005894,WBGENE00017661,WBGENE00001665,WBGENE00007951,WBGENE00009965,WBGENE00010741,WBGENE00011381,WBGENE00011382,WBGENE00010191,WBGENE00012279,WBGENE00000233,WBGENE00011197,WBGENE00008522,WBGENE00005781,WBGENE00005830,WBGENE00013588,WBGENE00013752,WBGENE00004926,WBGENE00020008,WBGENE00020023,WBGENE00005641,WBGENE00014055,WBGENE00004286"
GO:BP,neuropeptide signaling pathway,GO:0007218,3.29912E-05,4.481601842,116,305,17,10296,"WBGENE00006428,WBGENE00018117,WBGENE00021439,WBGENE00003759,WBGENE00001457,WBGENE00003740,WBGENE00001461,WBGENE00003752,WBGENE00003757,WBGENE00003753,WBGENE00007219,WBGENE00003747,WBGENE00001464,WBGENE00010191,WBGENE00008522,WBGENE00013588,WBGENE00013752"
GO:BP,metal ion transport,GO:0030001,6.51855E-05,4.185848981,268,305,26,10296,"WBGENE00001187,WBGENE00009008,WBGENE00006663,WBGENE00000501,WBGENE00006772,WBGENE00006683,WBGENE00019830,WBGENE00004877,WBGENE00018280,WBGENE00002242,WBGENE00002234,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00006681,WBGENE00001374,WBGENE00015660,WBGENE00017879,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00004793,WBGENE00017350,WBGENE00006832,WBGENE00006660"
GO:BP,ion transmembrane transport,GO:0034220,0.002503171,2.601509479,516,305,35,10296,"WBGENE00001187,WBGENE00006663,WBGENE00001795,WBGENE00002974,WBGENE00020605,WBGENE00006772,WBGENE00006683,WBGENE00018280,WBGENE00002242,WBGENE00002234,WBGENE00000047,WBGENE00010994,WBGENE00021637,WBGENE00020903,WBGENE00016066,WBGENE00017852,WBGENE00016945,WBGENE00006681,WBGENE00017770,WBGENE00001374,WBGENE00015660,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00010741,WBGENE00004359,WBGENE00004793,WBGENE00000233,WBGENE00017350,WBGENE00000530,WBGENE00006832,WBGENE00006660"
GO:BP,cation transport,GO:0006812,0.003994144,2.398576264,395,305,29,10296,"WBGENE00001187,WBGENE00009008,WBGENE00006663,WBGENE00001795,WBGENE00000501,WBGENE00006772,WBGENE00006683,WBGENE00019830,WBGENE00004877,WBGENE00018280,WBGENE00002242,WBGENE00002234,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00006681,WBGENE00001374,WBGENE00015660,WBGENE00017879,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00004359,WBGENE00004793,WBGENE00004926,WBGENE00017350,WBGENE00006832,WBGENE00006660"
GO:BP,potassium ion transmembrane transport,GO:0071805,0.004504322,2.346370608,99,305,13,10296,"WBGENE00006663,WBGENE00006683,WBGENE00002242,WBGENE00002234,WBGENE00006681,WBGENE00001374,WBGENE00015660,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00004793,WBGENE00017350,WBGENE00006660"
