source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,structural constituent of cuticle,GO:0042302,2.84E-19,18.54712444,167,475,42,11339,"WBGENE00001071,WBGENE00000675,WBGENE00000680,WBGENE00000683,WBGENE00000684,WBGENE00000690,WBGENE00000692,WBGENE00000593,WBGENE00000698,WBGENE00000699,WBGENE00000663,WBGENE00000664,WBGENE00000597,WBGENE00000665,WBGENE00000668,WBGENE00000670,WBGENE00000672,WBGENE00000673,WBGENE00000608,WBGENE00000739,WBGENE00000741,WBGENE00000745,WBGENE00001069,WBGENE00000754,WBGENE00000622,WBGENE00000626,WBGENE00000634,WBGENE00000636,WBGENE00000612,WBGENE00000712,WBGENE00000620,WBGENE00000719,WBGENE00000722,WBGENE00000730,WBGENE00000731,WBGENE00000734,WBGENE00000647,WBGENE00000655,WBGENE00000616,WBGENE00000656,WBGENE00000251,WBGENE00004300"
GO:MF,structural molecule activity,GO:0005198,9.78E-11,10.00979986,406,475,52,11339,"WBGENE00001071,WBGENE00000675,WBGENE00000680,WBGENE00000683,WBGENE00000684,WBGENE00000942,WBGENE00000690,WBGENE00000692,WBGENE00000593,WBGENE00000698,WBGENE00000699,WBGENE00000702,WBGENE00000663,WBGENE00000248,WBGENE00000664,WBGENE00007170,WBGENE00000597,WBGENE00000665,WBGENE00001263,WBGENE00000668,WBGENE00006533,WBGENE00000670,WBGENE00000672,WBGENE00000673,WBGENE00000608,WBGENE00000066,WBGENE00000739,WBGENE00000741,WBGENE00000745,WBGENE00001069,WBGENE00000754,WBGENE00000622,WBGENE00000626,WBGENE00000634,WBGENE00000636,WBGENE00000612,WBGENE00009158,WBGENE00006529,WBGENE00000712,WBGENE00006803,WBGENE00000620,WBGENE00000719,WBGENE00000722,WBGENE00000730,WBGENE00000731,WBGENE00000734,WBGENE00000647,WBGENE00000655,WBGENE00000616,WBGENE00000656,WBGENE00000251,WBGENE00004300"
GO:MF,structural constituent of cytoskeleton,GO:0005200,0.044369234,1.352918065,21,475,6,11339,"WBGENE00000942,WBGENE00000248,WBGENE00006533,WBGENE00000066,WBGENE00006529,WBGENE00006803"
GO:MF,DNA replication origin binding,GO:0003688,0.049753727,1.303174383,8,475,4,11339,"WBGENE00013857,WBGENE00009372,WBGENE00012650,WBGENE00012936"
GO:BP,cell cycle,GO:0007049,1.63E-08,7.786825874,372,395,44,10296,"WBGENE00002032,WBGENE00020465,WBGENE00001862,WBGENE00002228,WBGENE00017641,WBGENE00006374,WBGENE00003576,WBGENE00007307,WBGENE00007309,WBGENE00018721,WBGENE00000248,WBGENE00009372,WBGENE00003055,WBGENE00010363,WBGENE00012650,WBGENE00012936,WBGENE00006533,WBGENE00006571,WBGENE00004127,WBGENE00022043,WBGENE00017738,WBGENE00000413,WBGENE00003422,WBGENE00004217,WBGENE00001832,WBGENE00002034,WBGENE00019712,WBGENE00003499,WBGENE00000275,WBGENE00008107,WBGENE00006529,WBGENE00009368,WBGENE00001049,WBGENE00000387,WBGENE00021560,WBGENE00001829,WBGENE00008921,WBGENE00008301,WBGENE00000868,WBGENE00011505,WBGENE00006375,WBGENE00003784,WBGENE00006996,WBGENE00000411"
GO:BP,anatomical structure development,GO:0048856,6.49E-08,7.187667802,1205,395,91,10296,"WBGENE00001071,WBGENE00000675,WBGENE00000680,WBGENE00000683,WBGENE00017482,WBGENE00000684,WBGENE00018321,WBGENE00020465,WBGENE00003992,WBGENE00017641,WBGENE00000690,WBGENE00000692,WBGENE00007496,WBGENE00000699,WBGENE00000702,WBGENE00006759,WBGENE00000417,WBGENE00000663,WBGENE00018721,WBGENE00007966,WBGENE00000664,WBGENE00001609,WBGENE00009653,WBGENE00004798,WBGENE00000668,WBGENE00000670,WBGENE00006571,WBGENE00000672,WBGENE00010663,WBGENE00006955,WBGENE00016485,WBGENE00003776,WBGENE00015716,WBGENE00000739,WBGENE00000741,WBGENE00003495,WBGENE00000745,WBGENE00019727,WBGENE00006764,WBGENE00000754,WBGENE00006979,WBGENE00006816,WBGENE00000622,WBGENE00000237,WBGENE00000626,WBGENE00000413,WBGENE00002144,WBGENE00004217,WBGENE00016733,WBGENE00004224,WBGENE00015504,WBGENE00000634,WBGENE00003499,WBGENE00000612,WBGENE00012138,WBGENE00001647,WBGENE00009178,WBGENE00006379,WBGENE00006529,WBGENE00005078,WBGENE00004230,WBGENE00000030,WBGENE00000031,WBGENE00001073,WBGENE00006803,WBGENE00000620,WBGENE00023417,WBGENE00000719,WBGENE00000722,WBGENE00009059,WBGENE00005022,WBGENE00000730,WBGENE00000731,WBGENE00009094,WBGENE00010685,WBGENE00012524,WBGENE00001691,WBGENE00015646,WBGENE00004076,WBGENE00000647,WBGENE00004221,WBGENE00015796,WBGENE00003784,WBGENE00006996,WBGENE00001159,WBGENE00000411,WBGENE00004222,WBGENE00004300,WBGENE00003228,WBGENE00004232,WBGENE00006999"
GO:BP,cell cycle process,GO:0022402,1.24E-07,6.908140695,294,395,37,10296,"WBGENE00002032,WBGENE00020465,WBGENE00001862,WBGENE00002228,WBGENE00017641,WBGENE00006374,WBGENE00003576,WBGENE00007307,WBGENE00018721,WBGENE00009372,WBGENE00003055,WBGENE00010363,WBGENE00012650,WBGENE00012936,WBGENE00006571,WBGENE00022043,WBGENE00017738,WBGENE00000413,WBGENE00003422,WBGENE00004217,WBGENE00001832,WBGENE00002034,WBGENE00019712,WBGENE00003499,WBGENE00000275,WBGENE00008107,WBGENE00006529,WBGENE00001049,WBGENE00000387,WBGENE00021560,WBGENE00001829,WBGENE00008301,WBGENE00000868,WBGENE00011505,WBGENE00006375,WBGENE00006996,WBGENE00000411"
GO:BP,developmental process,GO:0032502,1.02234E-06,5.990405032,1349,395,95,10296,"WBGENE00001071,WBGENE00000675,WBGENE00000680,WBGENE00000683,WBGENE00017482,WBGENE00000684,WBGENE00018321,WBGENE00020465,WBGENE00003992,WBGENE00017641,WBGENE00000690,WBGENE00000692,WBGENE00007496,WBGENE00000699,WBGENE00000702,WBGENE00006759,WBGENE00000417,WBGENE00044067,WBGENE00000663,WBGENE00018721,WBGENE00007966,WBGENE00000664,WBGENE00003055,WBGENE00001609,WBGENE00009653,WBGENE00004798,WBGENE00000668,WBGENE00000670,WBGENE00006571,WBGENE00000672,WBGENE00010663,WBGENE00006955,WBGENE00016485,WBGENE00003776,WBGENE00015716,WBGENE00000739,WBGENE00000741,WBGENE00003495,WBGENE00000745,WBGENE00019727,WBGENE00006764,WBGENE00000754,WBGENE00006979,WBGENE00006816,WBGENE00000622,WBGENE00000237,WBGENE00000626,WBGENE00000413,WBGENE00002144,WBGENE00004217,WBGENE00016733,WBGENE00004224,WBGENE00015504,WBGENE00000634,WBGENE00003499,WBGENE00000612,WBGENE00012138,WBGENE00001647,WBGENE00009178,WBGENE00009160,WBGENE00006379,WBGENE00006529,WBGENE00005078,WBGENE00004230,WBGENE00000030,WBGENE00000031,WBGENE00001073,WBGENE00006803,WBGENE00000620,WBGENE00023417,WBGENE00000719,WBGENE00000722,WBGENE00009059,WBGENE00005022,WBGENE00000730,WBGENE00000731,WBGENE00009094,WBGENE00010685,WBGENE00012524,WBGENE00001691,WBGENE00015646,WBGENE00004076,WBGENE00000647,WBGENE00004221,WBGENE00022780,WBGENE00015796,WBGENE00003784,WBGENE00006996,WBGENE00001159,WBGENE00000411,WBGENE00004222,WBGENE00004300,WBGENE00003228,WBGENE00004232,WBGENE00006999"
GO:BP,DNA-dependent DNA replication,GO:0006261,1.49038E-06,5.826703328,56,395,15,10296,"WBGENE00013857,WBGENE00004339,WBGENE00020761,WBGENE00009372,WBGENE00003055,WBGENE00012650,WBGENE00012936,WBGENE00006571,WBGENE00022043,WBGENE00017738,WBGENE00000413,WBGENE00009368,WBGENE00001049,WBGENE00008921,WBGENE00001016"
GO:BP,DNA replication,GO:0006260,4.52243E-06,5.344627865,99,395,19,10296,"WBGENE00013857,WBGENE00004339,WBGENE00020761,WBGENE00009372,WBGENE00003055,WBGENE00001002,WBGENE00012650,WBGENE00012936,WBGENE00006571,WBGENE00022043,WBGENE00017738,WBGENE00000413,WBGENE00009368,WBGENE00001049,WBGENE00009287,WBGENE00008921,WBGENE00022888,WBGENE00011275,WBGENE00001016"
