source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,anatomical structure development,GO:0048856,6.49E-08,7.187667802,1205,395,91,10296,"WBGENE00001071,WBGENE00000675,WBGENE00000680,WBGENE00000683,WBGENE00017482,WBGENE00000684,WBGENE00018321,WBGENE00020465,WBGENE00003992,WBGENE00017641,WBGENE00000690,WBGENE00000692,WBGENE00007496,WBGENE00000699,WBGENE00000702,WBGENE00006759,WBGENE00000417,WBGENE00000663,WBGENE00018721,WBGENE00007966,WBGENE00000664,WBGENE00001609,WBGENE00009653,WBGENE00004798,WBGENE00000668,WBGENE00000670,WBGENE00006571,WBGENE00000672,WBGENE00010663,WBGENE00006955,WBGENE00016485,WBGENE00003776,WBGENE00015716,WBGENE00000739,WBGENE00000741,WBGENE00003495,WBGENE00000745,WBGENE00019727,WBGENE00006764,WBGENE00000754,WBGENE00006979,WBGENE00006816,WBGENE00000622,WBGENE00000237,WBGENE00000626,WBGENE00000413,WBGENE00002144,WBGENE00004217,WBGENE00016733,WBGENE00004224,WBGENE00015504,WBGENE00000634,WBGENE00003499,WBGENE00000612,WBGENE00012138,WBGENE00001647,WBGENE00009178,WBGENE00006379,WBGENE00006529,WBGENE00005078,WBGENE00004230,WBGENE00000030,WBGENE00000031,WBGENE00001073,WBGENE00006803,WBGENE00000620,WBGENE00023417,WBGENE00000719,WBGENE00000722,WBGENE00009059,WBGENE00005022,WBGENE00000730,WBGENE00000731,WBGENE00009094,WBGENE00010685,WBGENE00012524,WBGENE00001691,WBGENE00015646,WBGENE00004076,WBGENE00000647,WBGENE00004221,WBGENE00015796,WBGENE00003784,WBGENE00006996,WBGENE00001159,WBGENE00000411,WBGENE00004222,WBGENE00004300,WBGENE00003228,WBGENE00004232,WBGENE00006999"
GO:BP,reproduction,GO:0000003,0.000105969,3.974820021,579,395,49,10296,"WBGENE00020465,WBGENE00003992,WBGENE00001862,WBGENE00002228,WBGENE00000942,WBGENE00017641,WBGENE00006374,WBGENE00007307,WBGENE00044067,WBGENE00018721,WBGENE00000248,WBGENE00003055,WBGENE00009653,WBGENE00006571,WBGENE00010663,WBGENE00016485,WBGENE00003495,WBGENE00006816,WBGENE00000413,WBGENE00003422,WBGENE00002144,WBGENE00004217,WBGENE00002034,WBGENE00019712,WBGENE00004224,WBGENE00015504,WBGENE00003499,WBGENE00001647,WBGENE00008107,WBGENE00006379,WBGENE00001049,WBGENE00004230,WBGENE00021560,WBGENE00001829,WBGENE00023417,WBGENE00005022,WBGENE00007117,WBGENE00011505,WBGENE00006375,WBGENE00001691,WBGENE00004221,WBGENE00015796,WBGENE00003784,WBGENE00006996,WBGENE00001159,WBGENE00004222,WBGENE00004300,WBGENE00004232,WBGENE00006999"
GO:BP,mitotic cell cycle,GO:0000278,0.004447709,2.351863679,209,395,23,10296,"WBGENE00017641,WBGENE00003576,WBGENE00007309,WBGENE00018721,WBGENE00000248,WBGENE00009372,WBGENE00012650,WBGENE00012936,WBGENE00006533,WBGENE00006571,WBGENE00022043,WBGENE00017738,WBGENE00000413,WBGENE00004217,WBGENE00001832,WBGENE00000275,WBGENE00008107,WBGENE00006529,WBGENE00009368,WBGENE00001829,WBGENE00008921,WBGENE00000868,WBGENE00000411"
GO:BP,organelle fission,GO:0048285,0.005187864,2.285011459,153,395,19,10296,"WBGENE00001862,WBGENE00002228,WBGENE00017641,WBGENE00003576,WBGENE00007307,WBGENE00006571,WBGENE00001832,WBGENE00002034,WBGENE00019712,WBGENE00003499,WBGENE00000275,WBGENE00001049,WBGENE00021560,WBGENE00001829,WBGENE00011505,WBGENE00006375,WBGENE00001424,WBGENE00006996,WBGENE00000411"
GO:BP,meiotic cell cycle,GO:0051321,0.007371275,2.132457372,116,395,16,10296,"WBGENE00020465,WBGENE00001862,WBGENE00002228,WBGENE00007307,WBGENE00006571,WBGENE00003422,WBGENE00002034,WBGENE00019712,WBGENE00003499,WBGENE00008107,WBGENE00001049,WBGENE00021560,WBGENE00001829,WBGENE00011505,WBGENE00006375,WBGENE00006996"
GO:BP,regulation of DNA-dependent DNA replication,GO:0090329,0.015274298,1.816038748,10,395,5,10296,"WBGENE00003055,WBGENE00006571,WBGENE00017738,WBGENE00000413,WBGENE00001049"
GO:BP,nuclear chromosome segregation,GO:0098813,0.018097147,1.742389882,111,395,15,10296,"WBGENE00001862,WBGENE00017641,WBGENE00003576,WBGENE00006571,WBGENE00001832,WBGENE00002034,WBGENE00019712,WBGENE00003499,WBGENE00000275,WBGENE00021560,WBGENE00001829,WBGENE00011505,WBGENE00006375,WBGENE00006996,WBGENE00000411"
GO:BP,DNA replication initiation,GO:0006270,0.023251489,1.633549226,17,395,6,10296,"WBGENE00013857,WBGENE00009372,WBGENE00012650,WBGENE00012936,WBGENE00022043,WBGENE00000413"
GO:BP,innate immune response,GO:0045087,0.048155307,1.317355844,242,395,23,10296,"WBGENE00044073,WBGENE00019213,WBGENE00005003,WBGENE00008486,WBGENE00009213,WBGENE00016218,WBGENE00020455,WBGENE00020456,WBGENE00006627,WBGENE00015716,WBGENE00000522,WBGENE00009160,WBGENE00005078,WBGENE00015574,WBGENE00017678,WBGENE00018694,WBGENE00008336,WBGENE00009430,WBGENE00008634,WBGENE00013947,WBGENE00022780,WBGENE00014252,WBGENE00001772"
KEGG,Biosynthesis of amino acids,KEGG:01230,0.002118631,2.673944736,69,90,9,3369,"WBGENE00015509,WBGENE00010317,WBGENE00003214,WBGENE00000040,WBGENE00020146,WBGENE00019096,WBGENE00008230,WBGENE00021787,WBGENE00011884"
