source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,mitotic cell cycle,GO:0000278,3.06E-08,7.514505648,209,192,22,10296,"WBGENE00004217,WBGENE00003107,WBGENE00012650,WBGENE00018613,WBGENE00008921,WBGENE00000257,WBGENE00004732,WBGENE00011501,WBGENE00015515,WBGENE00002219,WBGENE00003086,WBGENE00022043,WBGENE00006529,WBGENE00006537,WBGENE00004737,WBGENE00000275,WBGENE00004955,WBGENE00001833,WBGENE00012936,WBGENE00002226,WBGENE00011915,WBGENE00004721"
GO:BP,DNA replication,GO:0006260,2.49E-05,4.60322527,99,192,13,10296,"WBGENE00022888,WBGENE00012650,WBGENE00004392,WBGENE00011275,WBGENE00008921,WBGENE00001002,WBGENE00004180,WBGENE00004339,WBGENE00022043,WBGENE00004340,WBGENE00004181,WBGENE00012936,WBGENE00009287"
GO:BP,nuclear division,GO:0000280,4.68E-05,4.329392008,143,192,15,10296,"WBGENE00003107,WBGENE00012648,WBGENE00000257,WBGENE00011501,WBGENE00002228,WBGENE00004298,WBGENE00015515,WBGENE00002219,WBGENE00006996,WBGENE00004737,WBGENE00000275,WBGENE00001833,WBGENE00002226,WBGENE00011915,WBGENE00004721"
GO:BP,organelle fission,GO:0048285,0.000115456,3.937581831,153,192,15,10296,"WBGENE00003107,WBGENE00012648,WBGENE00000257,WBGENE00011501,WBGENE00002228,WBGENE00004298,WBGENE00015515,WBGENE00002219,WBGENE00006996,WBGENE00004737,WBGENE00000275,WBGENE00001833,WBGENE00002226,WBGENE00011915,WBGENE00004721"
GO:BP,mitotic nuclear division,GO:0140014,0.000869313,3.060823777,75,192,10,10296,"WBGENE00003107,WBGENE00000257,WBGENE00011501,WBGENE00015515,WBGENE00004737,WBGENE00000275,WBGENE00001833,WBGENE00002226,WBGENE00011915,WBGENE00004721"
GO:BP,sister chromatid segregation,GO:0000819,0.00585066,2.232795133,73,192,9,10296,"WBGENE00000257,WBGENE00011501,WBGENE00015515,WBGENE00006996,WBGENE00004737,WBGENE00000275,WBGENE00001833,WBGENE00011915,WBGENE00004721"
GO:BP,reproduction,GO:0000003,0.00681816,2.166332792,579,192,27,10296,"WBGENE00007117,WBGENE00004219,WBGENE00006947,WBGENE00021389,WBGENE00011910,WBGENE00004217,WBGENE00008950,WBGENE00020728,WBGENE00003784,WBGENE00020465,WBGENE00006793,WBGENE00012648,WBGENE00006816,WBGENE00015504,WBGENE00006434,WBGENE00002228,WBGENE00004298,WBGENE00002219,WBGENE00006836,WBGENE00006537,WBGENE00006996,WBGENE00004181,WBGENE00004966,WBGENE00004737,WBGENE00008968,WBGENE00001833,WBGENE00004721"
GO:BP,cytoskeleton organization,GO:0007010,0.007222805,2.141294084,295,192,18,10296,"WBGENE00001132,WBGENE00000066,WBGENE00006826,WBGENE00006819,WBGENE00006803,WBGENE00000257,WBGENE00004732,WBGENE00011501,WBGENE00002228,WBGENE00015515,WBGENE00002219,WBGENE00006836,WBGENE00006529,WBGENE00006537,WBGENE00001488,WBGENE00006794,WBGENE00004955,WBGENE00002226"
GO:BP,meiotic cell cycle process,GO:1903046,0.009247177,2.03399085,97,192,10,10296,"WBGENE00020465,WBGENE00012648,WBGENE00002228,WBGENE00004298,WBGENE00002219,WBGENE00006537,WBGENE00006996,WBGENE00004737,WBGENE00001833,WBGENE00004721"
GO:BP,spindle organization,GO:0007051,0.017548474,1.755760648,47,192,7,10296,"WBGENE00000257,WBGENE00011501,WBGENE00002228,WBGENE00015515,WBGENE00002219,WBGENE00006537,WBGENE00002226"
GO:BP,anatomical structure development,GO:0048856,0.028937619,1.538537206,1205,192,42,10296,"WBGENE00005017,WBGENE00000615,WBGENE00004219,WBGENE00006947,WBGENE00000687,WBGENE00004217,WBGENE00008950,WBGENE00003784,WBGENE00003107,WBGENE00001132,WBGENE00000753,WBGENE00017647,WBGENE00000622,WBGENE00000737,WBGENE00020465,WBGENE00004392,WBGENE00000688,WBGENE00006826,WBGENE00001073,WBGENE00018321,WBGENE00006793,WBGENE00006816,WBGENE00006803,WBGENE00019277,WBGENE00015504,WBGENE00004732,WBGENE00006434,WBGENE00000664,WBGENE00009059,WBGENE00000726,WBGENE00015515,WBGENE00001441,WBGENE00002219,WBGENE00006836,WBGENE00006529,WBGENE00006996,WBGENE00004181,WBGENE00003228,WBGENE00004966,WBGENE00008968,WBGENE00004955,WBGENE00001833"
GO:BP,small molecule metabolic process,GO:0044281,0.039882338,1.39921939,676,192,28,10296,"WBGENE00020258,WBGENE00001245,WBGENE00020674,WBGENE00004062,WBGENE00015467,WBGENE00009218,WBGENE00001606,WBGENE00001683,WBGENE00004392,WBGENE00000198,WBGENE00015464,WBGENE00010317,WBGENE00001686,WBGENE00006568,WBGENE00000109,WBGENE00011884,WBGENE00007812,WBGENE00016632,WBGENE00020146,WBGENE00020311,WBGENE00019322,WBGENE00010911,WBGENE00001239,WBGENE00017301,WBGENE00012015,WBGENE00020166,WBGENE00004981,WBGENE00008132"
GO:BP,peptidyl-serine phosphorylation,GO:0018105,0.041009311,1.387117528,115,192,10,10296,"WBGENE00015634,WBGENE00010366,WBGENE00019642,WBGENE00007269,WBGENE00009115,WBGENE00016421,WBGENE00007791,WBGENE00010719,WBGENE00021016,WBGENE00019769"
GO:BP,meiotic cell cycle,GO:0051321,0.044161399,1.354957178,116,192,10,10296,"WBGENE00020465,WBGENE00012648,WBGENE00002228,WBGENE00004298,WBGENE00002219,WBGENE00006537,WBGENE00006996,WBGENE00004737,WBGENE00001833,WBGENE00004721"
KEGG,Carbon metabolism,KEGG:01200,9.74E-06,5.01140929,104,64,12,3369,"WBGENE00001683,WBGENE00000040,WBGENE00010317,WBGENE00001686,WBGENE00017864,WBGENE00011884,WBGENE00016392,WBGENE00020146,WBGENE00018701,WBGENE00017301,WBGENE00012015,WBGENE00020166"
KEGG,DNA replication,KEGG:03030,0.001117029,2.951935444,35,64,6,3369,"WBGENE00001002,WBGENE00004180,WBGENE00004339,WBGENE00004340,WBGENE00004181,WBGENE00012936"
KEGG,Phagosome,KEGG:04145,0.003949071,2.403505012,62,64,7,3369,"WBGENE00000063,WBGENE00000065,WBGENE00000066,WBGENE00000064,WBGENE00006529,WBGENE00006537,WBGENE00003930"
