source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
KEGG,Proteoglycans in cancer,KEGG:05205,0.001293789,2.888136465,205,479,29,8014,"WNT7A,FLNB,MRAS,THBS1,FGF2,CASP3,PIK3R1,ESR1,EGFR,HGF,TLR4,COL1A1,FGFR1,RDX,CBL,FZD4,FRS2,DCN,IGF1,PTPN11,CCND1,IGF1R,MYC,TP53,ROCK1,FAS,MAPK1,TIMP3,MSN"
KEGG,Melanoma,KEGG:05218,0.001965408,2.706547314,72,479,15,8014,"E2F2,PDGFB,FGF2,PIK3R1,CDK6,BAK1,EGFR,HGF,FGFR1,IGF1,RB1,CCND1,IGF1R,TP53,MAPK1"
KEGG,Prostate cancer,KEGG:05215,0.005899437,2.22918945,97,479,17,8014,"E2F2,PDGFB,LEF1,PIK3R1,CCNE2,EGFR,PLAT,FGFR1,IGF1,RB1,CCND1,HSP90AA1,IGF1R,TP53,BCL2,ERG,MAPK1"
KEGG,Chronic myeloid leukemia,KEGG:05220,0.015442153,1.811292143,76,479,14,8014,"E2F2,PIK3R1,CDK6,BAK1,HDAC2,TGFBR1,CBL,PTPN11,RB1,CCND1,MYC,TP53,ABL1,MAPK1"
KEGG,Breast cancer,KEGG:05224,0.018164709,1.740771546,147,479,21,8014,"HEYL,E2F2,WNT7A,BRCA2,LEF1,FGF2,PIK3R1,CDK6,BAK1,ESR1,EGFR,FGFR1,PGR,FZD4,IGF1,RB1,CCND1,IGF1R,MYC,TP53,MAPK1"
KEGG,p53 signaling pathway,KEGG:04115,0.037726051,1.423358649,73,479,13,8014,"RRM2,THBS1,CASP3,CDK6,CCNE2,SERPINE1,CHEK1,APAF1,IGF1,CCND1,TP53,BCL2,FAS"
KEGG,Glioma,KEGG:05214,0.04962214,1.304324507,75,479,13,8014,"E2F2,PDGFB,PIK3R1,CDK6,BAK1,EGFR,IGF1,RB1,CCND1,CALM1,IGF1R,TP53,MAPK1"
REAC,"Cell Cycle, Mitotic",REAC:R-HSA-69278,3.64413E-05,4.438406529,548,659,66,10760,"RCC2,ERCC6L,KIF20A,RBBP4,PSMB2,NUF2,TK1,CENPI,RRM2,E2F2,AURKB,ESPL1,HMMR,CDCA8,SKA1,LBR,AHCTF1,CENPK,CDC25A,AURKA,MAD2L1,FEN1,SMC2,KIF2A,CDK6,CCNE2,HIST1H2BJ,DNA2,CNTRL,PCM1,BORA,CDC7,CEP135,HAUS6,DCTN3,SMC1A,GMNN,TUBB,ACTR1A,RFC2,PRIM2,ANAPC15,CEP164,PPP2R1B,UBE2S,NEDD1,NUP37,RB1,CCND1,HSP90AA1,SMC3,CENPP,YWHAE,TAOK1,PSMD11,MYC,TP53,NUP155,CDC27,TUBB1,ABL1,MAPK1,CLASP2,RANGAP1,NUP153,MCM8"
REAC,RNA Polymerase II Transcription,REAC:R-HSA-73857,5.51789E-05,4.258227095,1343,659,128,10760,"RBBP4,PSMB2,ZFP69B,RRM2,BRIP1,AURKB,RBM8A,E2F7,CR1,INTS7,TP53BP2,LBR,ZNF670,RMI2,ITGA4,AURKA,ATAD2,PLXNA4,TP63,THBS1,LEF1,TRPC3,CDK6,CTSV,ZNF354C,CNOT6,CCNE2,HIST1H2BJ,MDC1,RNGTT,PRDM1,HDAC2,ESR1,ARID1B,SERPINE1,DNA2,ZNF548,ZNF443,GLI3,EGFR,ZNF586,CDC7,NBN,YWHAZ,ZNF569,ZNF169,ZFP37,ZNF607,TSC1,COL1A1,CSTF2T,ZNF544,TAF5,ZNF215,CTR9,RFC2,ANAPC15,PGR,ZNF202,CHEK1,MAGOHB,GRIN2B,SMARCD1,PPP2R1B,UBE2S,APAF1,NUAK1,PTPN11,TBX5,ZNF10,ZNF268,RB1,CCND1,GTF2A1,YY1,GTF2A2,SMAD6,ZNF710,ZNF200,RBFOX1,NUDT21,SRRT,YWHAE,ZNF287,PSMD11,MED1,CDK12,MYC,TP53,SRSF1,INTS2,TEAD1,CBX2,EIF4A3,TAF4B,ZNF562,PIN1,ZNF441,ZNF799,CBX5,ZNF431,ZNF708,ZNF738,ZNF493,ZNF790,ZNF585B,ZNF383,ZNF573,FAS,ZNF577,ZNF611,ZNF583,ZNF547,ZIK1,ZNF154,ZNF776,ZNF256,ZNF606,CDC27,ABL1,TAF4,DGCR8,MAPK1,SNRPD3,L3MBTL2,TAF9B,CNOT1,SMARCC1"
REAC,Mitotic Prometaphase,REAC:R-HSA-68877,0.000223999,3.649754541,199,659,32,10760,"RCC2,ERCC6L,NUF2,CENPI,AURKB,CDCA8,SKA1,AHCTF1,CENPK,MAD2L1,SMC2,KIF2A,CNTRL,PCM1,CEP135,HAUS6,DCTN3,SMC1A,TUBB,ACTR1A,CEP164,PPP2R1B,NEDD1,NUP37,HSP90AA1,SMC3,CENPP,YWHAE,TAOK1,TUBB1,CLASP2,RANGAP1"
